folder name,yt link,status
@r-tzy9922,https://www.youtube.com/@r-tzy9922/shorts,
@kutipankalimatid6274,https://www.youtube.com/@kutipankalimatid6274/shorts,
@yt_tuing2569,https://www.youtube.com/@yt_tuing2569/shorts,
@LingkarMusic,https://www.youtube.com/@LingkarMusic/shorts,
@KitaYangBercerita,https://www.youtube.com/@KitaYangBercerita/shorts,
@DwikiAfrilian,https://www.youtube.com/@DwikiAfrilian/shorts,
@AbdiSuardin,https://www.youtube.com/@AbdiSuardin/shorts,
@7comedies,https://www.youtube.com/@7comedies/shorts,
@billtods,https://www.youtube.com/@billtods/shorts,
@Ometvinternationall,https://www.youtube.com/@Ometvinternationall/shorts,
@agassiari,https://www.youtube.com/@agassiari/shorts,
@clipclipper24,https://www.youtube.com/@clipclipper24/shorts,
@bocilcliper,https://www.youtube.com/@bocilcliper/shorts,
@Timeeleesplus,https://www.youtube.com/@Timeeleesplus/shorts,
@Aulialya,https://www.youtube.com/@Aulialya/shorts,
@uniquesam77,https://www.youtube.com/@uniquesam77/shorts,
@Fans-024,https://www.youtube.com/@Fans-024/shorts,
@XyenAja,https://www.youtube.com/@XyenAja/shorts,
@ALIABDULAZIZREAL-y5m,https://www.youtube.com/@ALIABDULAZIZREAL-y5m/shorts,
@yongshunnn_,https://www.youtube.com/@yongshunnn_/shorts,
@Bulebarbie,https://www.youtube.com/@Bulebarbie/shorts,
@G-oclips,https://www.youtube.com/@G-oclips/shorts,
@hendrakaiju,https://www.youtube.com/@hendrakaiju/shorts,
@ANIMASIHIBURAN-001,https://www.youtube.com/@ANIMASIHIBURAN-001/shorts,
@storyjakartaselatan_500m,https://www.youtube.com/@storyjakartaselatan_500m/shorts,
@Wildan_30,https://www.youtube.com/@Wildan_30/shorts,
@Adamalhdyat,https://www.youtube.com/@Adamalhdyat/shorts,
@jjaaaaiinnnn,https://www.youtube.com/@jjaaaaiinnnn/shorts,
@SiSapiloid,https://www.youtube.com/@SiSapiloid/shorts,
@Dayat157,https://www.youtube.com/@Dayat157/shorts,
@NikitaWilly-fans,https://www.youtube.com/@NikitaWilly-fans/shorts,
@syarkmuslim.official,https://www.youtube.com/@syarkmuslim.official/shorts,
@idrssyttA,https://www.youtube.com/@idrssyttA/shorts,
@XA89,https://www.youtube.com/@XA89/shorts,
@KidiKido,https://www.youtube.com/@KidiKido/shorts,
@opiesports,https://www.youtube.com/@opiesports/shorts,
@AkngJon-s7g,https://www.youtube.com/@AkngJon-s7g/shorts,
@BREGAMING01,https://www.youtube.com/@BREGAMING01/shorts,
@PascolKintil,https://www.youtube.com/@PascolKintil/shorts,
@officialduniagames,https://www.youtube.com/@officialduniagames/shorts,
@SirPai,https://www.youtube.com/@SirPai/shorts,
@hadarrahmat,https://www.youtube.com/@hadarrahmat/shorts,
@Jilbob.hot_ID,https://www.youtube.com/@Jilbob.hot_ID/shorts,
@SBReaction25,https://www.youtube.com/@SBReaction25/shorts,
@insanpipel,https://www.youtube.com/@insanpipel/shorts,
@DLS_RECORD,https://www.youtube.com/@DLS_RECORD/shorts,
@RAWCUBE_MEDIA,https://www.youtube.com/@RAWCUBE_MEDIA/shorts,
@zonaberdasi,https://www.youtube.com/@zonaberdasi/shorts,
@CeritaCandy11,https://www.youtube.com/@CeritaCandy11/shorts,
@Bacol892,https://www.youtube.com/@Bacol892/shorts,
@SHBDR_,https://www.youtube.com/@SHBDR_/shorts,
@axcyyljulian,https://www.youtube.com/@axcyyljulian/shorts,
@Mr_Pargoy,https://www.youtube.com/@Mr_Pargoy/shorts,
@christinaimmanuel,https://www.youtube.com/@christinaimmanuel/shorts,
@nahem18,https://www.youtube.com/@nahem18/shorts,
@MEINIAC,https://www.youtube.com/@MEINIAC/shorts,
@SandiHenzou,https://www.youtube.com/@SandiHenzou/shorts,
@Anak.Kuliner,https://www.youtube.com/@Anak.Kuliner/shorts,
@Andresuhen,https://www.youtube.com/@Andresuhen/shorts,
@SomplakFriends,https://www.youtube.com/@SomplakFriends/shorts,
@BerllianaLovell,https://www.youtube.com/@BerllianaLovell/shorts,
@michelleck,https://www.youtube.com/@michelleck/shorts,
@nusantarahouse,https://www.youtube.com/@nusantarahouse/shorts,
@erikaputrealll,https://www.youtube.com/@erikaputrealll/shorts,
@YUSUFKANWA0,https://www.youtube.com/@YUSUFKANWA0/shorts,
@sportymango,https://www.youtube.com/@sportymango/shorts,
@EmakGilaLovers,https://www.youtube.com/@EmakGilaLovers/shorts,
@DomainKorea5,https://www.youtube.com/@DomainKorea5/shorts,
@Danelazz,https://www.youtube.com/@Danelazz/shorts,
@Animasi_Kembarr,https://www.youtube.com/@Animasi_Kembarr/shorts,
@menarikFakta9,https://www.youtube.com/@menarikFakta9/shorts,
@coolcA,https://www.youtube.com/@coolcA/shorts,
@Razorfathanah1,https://www.youtube.com/@Razorfathanah1/shorts,
@Nr_Syfii,https://www.youtube.com/@Nr_Syfii/shorts,
@Thecaricerita,https://www.youtube.com/@Thecaricerita/shorts,
@Omped_visual22,https://www.youtube.com/@Omped_visual22/shorts,
@premiumdance_studio,https://www.youtube.com/@premiumdance_studio/shorts,
@nengrarah16,https://www.youtube.com/@nengrarah16/shorts,
@ALgabut01,https://www.youtube.com/@ALgabut01/shorts,
@maskhidaaa,https://www.youtube.com/@maskhidaaa/shorts,
@HendraNumber17,https://www.youtube.com/@HendraNumber17/shorts,
@nufamathey,https://www.youtube.com/@nufamathey/shorts,
@iamHYERIofficial,https://www.youtube.com/@iamHYERIofficial/shorts,
@JangSulthan,https://www.youtube.com/@JangSulthan/shorts,
@lucunyagenz062,https://www.youtube.com/@lucunyagenz062/shorts,
@livedrawmacauu,https://www.youtube.com/@livedrawmacauu/shorts,
@Edward33333,https://www.youtube.com/@Edward33333/shorts,
@El_SkyCH,https://www.youtube.com/@El_SkyCH/shorts,
@Klik_dibawah,https://www.youtube.com/@Klik_dibawah/shorts,
@nerokunll,https://www.youtube.com/@nerokunll/shorts,
@MemePerfectCut,https://www.youtube.com/@MemePerfectCut/shorts,
@lucuhumor_,https://www.youtube.com/@lucuhumor_/shorts,
@al_28,https://www.youtube.com/@al_28/shorts,
@parhan360,https://www.youtube.com/@parhan360/shorts,
@RickyPepeng,https://www.youtube.com/@RickyPepeng/shorts,
@Gataubre_1,https://www.youtube.com/@Gataubre_1/shorts,
@KesperDaily,https://www.youtube.com/@KesperDaily/shorts,
@TretanUniverse,https://www.youtube.com/@TretanUniverse/shorts,
@djtrapmonster,https://www.youtube.com/@djtrapmonster/shorts,
@Burning_Dance,https://www.youtube.com/@Burning_Dance/shorts,
@Juringle,https://www.youtube.com/@Juringle/shorts,
@setiaentertainment8163,https://www.youtube.com/@setiaentertainment8163/shorts,
@Club-Malam,https://www.youtube.com/@Club-Malam/shorts,
@DiskoIndonesia,https://www.youtube.com/@DiskoIndonesia/shorts,
@ramdhi_sisteng,https://www.youtube.com/@ramdhi_sisteng/shorts,
